Gmt time,Open,High,Low,Close,Volume
05.05.2012 00:00:00.000,1642.000,1642.000,1642.000,1642.000,0
06.05.2012 00:00:00.000,1643.100,1643.200,1635.702,1638.842,17537519.455
07.05.2012 00:00:00.000,1638.903,1642.596,1632.022,1637.712,274243530.2734
08.05.2012 00:00:00.000,1637.635,1638.566,1595.347,1602.952,389432769.7754
09.05.2012 00:00:00.000,1602.868,1604.503,1579.412,1589.110,577817626.9531
10.05.2012 00:00:00.000,1589.087,1601.972,1585.633,1593.515,338568054.1992
11.05.2012 00:00:00.000,1593.481,1593.488,1572.465,1578.900,108813697.8149
12.05.2012 00:00:00.000,1578.900,1578.900,1578.900,1578.900,0
13.05.2012 00:00:00.000,1578.900,1584.132,1577.800,1580.652,89394783.02
14.05.2012 00:00:00.000,1580.672,1585.652,1555.100,1558.361,444757171.6309
15.05.2012 00:00:00.000,1558.329,1564.088,1541.456,1542.859,365528930.6641
16.05.2012 00:00:00.000,1542.852,1552.242,1526.925,1542.902,425183166.5039
17.05.2012 00:00:00.000,1543.250,1579.803,1542.989,1575.097,453408020.0195
18.05.2012 00:00:00.000,1574.958,1597.578,1567.933,1592.900,73293502.8076
19.05.2012 00:00:00.000,1592.900,1592.900,1592.900,1592.900,0
20.05.2012 00:00:00.000,1592.900,1594.252,1590.313,1594.252,181905181.8848
21.05.2012 00:00:00.000,1594.252,1599.144,1584.813,1594.297,271531433.1055
22.05.2012 00:00:00.000,1594.313,1594.352,1561.379,1567.265,328182983.3984
23.05.2012 00:00:00.000,1567.354,1567.587,1533.294,1558.487,886710510.2539
24.05.2012 00:00:00.000,1558.487,1577.908,1551.557,1556.452,344389129.6387
25.05.2012 00:00:00.000,1556.452,1574.133,1551.334,1572.300,60649799.3469
26.05.2012 00:00:00.000,1572.300,1572.300,1572.300,1572.300,0
27.05.2012 00:00:00.000,1572.300,1576.615,1571.450,1574.286,81460357.666
28.05.2012 00:00:00.000,1574.304,1583.944,1570.600,1574.863,1355711791.9922
29.05.2012 00:00:00.000,1574.793,1582.653,1547.833,1553.124,357037109.375
30.05.2012 00:00:00.000,1553.107,1569.452,1531.015,1564.523,257819915.7715
31.05.2012 00:00:00.000,1564.352,1573.333,1552.001,1560.673,244979660.0342
01.06.2012 00:00:00.000,1560.673,1629.935,1544.622,1624.100,993202209.4727
02.06.2012 00:00:00.000,1624.100,1624.100,1624.100,1624.100,0
03.06.2012 00:00:00.000,1624.100,1627.232,1615.743,1616.716,101064956.665
04.06.2012 00:00:00.000,1616.582,1628.080,1608.652,1619.367,8781990234.375
05.06.2012 00:00:00.000,1619.349,1623.569,1611.764,1617.699,237147125.2441
06.06.2012 00:00:00.000,1617.698,1640.943,1613.112,1622.409,715844421.3867
07.06.2012 00:00:00.000,1622.366,1629.113,1578.022,1591.599,470406677.2461
08.06.2012 00:00:00.000,1591.615,1595.052,1554.321,1593.600,112093597.4121
09.06.2012 00:00:00.000,1593.600,1593.600,1593.600,1593.600,0
10.06.2012 00:00:00.000,1593.000,1608.121,1593.000,1602.036,239011001.5869
11.06.2012 00:00:00.000,1602.063,1604.882,1581.733,1591.152,375401367.1875
12.06.2012 00:00:00.000,1591.055,1617.583,1585.855,1607.800,4075642333.9844
13.06.2012 00:00:00.000,1607.900,1624.731,1606.033,1617.308,817660888.6719
14.06.2012 00:00:00.000,1617.280,1627.852,1609.314,1621.052,447998413.0859
15.06.2012 00:00:00.000,1621.027,1633.608,1619.493,1627.200,103280097.9614
16.06.2012 00:00:00.000,1627.200,1627.200,1627.200,1627.200,0
17.06.2012 00:00:00.000,1626.900,1629.993,1604.482,1618.352,100523498.5352
18.06.2012 00:00:00.000,1618.552,1630.045,1613.243,1627.873,528593139.6484
19.06.2012 00:00:00.000,1627.847,1633.173,1616.600,1620.575,364425476.0742
20.06.2012 00:00:00.000,1620.596,1622.053,1590.133,1604.052,352579406.7383
21.06.2012 00:00:00.000,1604.135,1604.386,1563.700,1568.295,477850524.9023
22.06.2012 00:00:00.000,1568.266,1573.352,1558.090,1571.700,113719802.8564
23.06.2012 00:00:00.000,1571.700,1571.700,1571.700,1571.700,0
24.06.2012 00:00:00.000,1572.100,1573.252,1567.412,1569.563,54863880.1575
25.06.2012 00:00:00.000,1569.645,1588.285,1566.279,1584.897,727587829.5898
26.06.2012 00:00:00.000,1584.981,1586.903,1567.773,1571.743,404997924.8047
27.06.2012 00:00:00.000,1571.743,1583.039,1562.657,1574.465,525280456.543
28.06.2012 00:00:00.000,1574.490,1578.953,1548.000,1553.025,556825622.5586
29.06.2012 00:00:00.000,1553.003,1606.933,1551.077,1597.430,100769302.3682
30.06.2012 00:00:00.000,1597.430,1597.430,1597.430,1597.430,0
01.07.2012 00:00:00.000,1597.300,1599.615,1596.919,1598.910,194784164.4287
02.07.2012 00:00:00.000,1598.843,1602.443,1587.178,1595.259,348153320.3125
03.07.2012 00:00:00.000,1595.252,1624.837,1595.074,1619.852,637588623.0469
04.07.2012 00:00:00.000,1619.852,1619.852,1611.452,1615.414,440697967.5293
05.07.2012 00:00:00.000,1615.430,1623.728,1597.448,1607.310,580472167.9688
06.07.2012 00:00:00.000,1607.310,1609.678,1576.445,1582.400,1318624145.5078
07.07.2012 00:00:00.000,1582.400,1582.400,1582.400,1582.400,0
08.07.2012 00:00:00.000,1583.300,1583.650,1576.417,1578.509,83848243.7134
09.07.2012 00:00:00.000,1578.483,1592.852,1577.886,1587.562,752010559.082
10.07.2012 00:00:00.000,1587.587,1601.183,1564.482,1571.256,886021606.4453
